"file","baseline.mean.omega","baseline.median.omega","num.branches","num.branches.pval.less.than.alpha","branches.pval.less.than.alpha","pvals.less.than.alpha"
"OG0012952-cds.json",0.215118940716336,0.0745208619665515,11,1,"ASAPD","0"
"OG0012788-cds.json",0.276931799010522,0.0981212926525243,11,1,"ASAPD","0"
"OG0014543-cds.json",909090909.287693,0.113524183696268,11,1,"ASAPD","3.631158895789355e-08"
"OG0011159-cds.json",0.269864461730596,0.240545736638796,11,1,"ASAPD","0"
"OG0010583-cds.json",0.259138643998819,0.132746836327789,11,1,"ASAPD","3.225013257557308e-07"
"OG0013354-cds.json",0.103735611168414,0.0757585647493237,11,2,"ASAPD;SPILC","1.235450522996118e-07;5.123989521571559e-07"
"OG0014169-cds.json",0.1365674994439,0.0928233323969343,11,1,"ASAPD","6.106226635438361e-16"
"OG0010510-cds.json",0.196372074619765,0.10892115822846,11,1,"ASAPD","1.829730811309105e-11"
"OG0014321-cds.json",0.149272641890233,0.0782371571871145,11,2,"ASAPD;Node8","0;1.409856875689286e-06"
"OG0012301-cds.json",0.127442654882671,0.0286549381583817,11,2,"AALOS;ASAPD","0;0"
"OG0011537-cds.json",909090909.224796,0.107799730093833,11,1,"ASAPD","1.274136711137963e-07"
"OG0014125-cds.json",0.0787565068178224,0.0600830511149708,11,1,"ASAPD","2.734561702077976e-07"
"OG0013764-cds.json",0.101357077230934,0.0141422125276105,11,1,"ASAPD","0"
"OG0013783-cds.json",0.146322269867811,0.137702582877551,11,1,"ASAPD","5.317383501290962e-07"
"OG0011268-cds.json",0.30137959251001,0.174812850624553,11,1,"ASAPD","0"
